"ID";"RegioS";"Eigendom";"Perioden";"GemiddeldeWOZWaardeVanWoningen_1"
"464";"CR03  ";"1014800";"2021JJ00";"     272"
"465";"CR03  ";"1014800";"2022JJ00";"     301"
"466";"CR03  ";"1014800";"2023JJ00";"     351"
"467";"CR03  ";"1014800";"2024JJ00";"       ."
"468";"CR03  ";"A047047";"2019JJ00";"     125"
"469";"CR03  ";"A047047";"2020JJ00";"     135"
"470";"CR03  ";"A047047";"2021JJ00";"     146"
"471";"CR03  ";"A047047";"2022JJ00";"     164"
"472";"CR03  ";"A047047";"2023JJ00";"     196"
"473";"CR03  ";"A047047";"2024JJ00";"       ."
"474";"CR03  ";"A047048";"2019JJ00";"     160"
"475";"CR03  ";"A047048";"2020JJ00";"     171"
"476";"CR03  ";"A047048";"2021JJ00";"     184"
"477";"CR03  ";"A047048";"2022JJ00";"     205"
"478";"CR03  ";"A047048";"2023JJ00";"     238"
"479";"CR03  ";"A047048";"2024JJ00";"       ."
"480";"CR04  ";"T001132";"2019JJ00";"     173"
"481";"CR04  ";"T001132";"2020JJ00";"     183"
"482";"CR04  ";"T001132";"2021JJ00";"     197"
"483";"CR04  ";"T001132";"2022JJ00";"     222"
"484";"CR04  ";"T001132";"2023JJ00";"     255"
"485";"CR04  ";"T001132";"2024JJ00";"     269"
"486";"CR04  ";"1014800";"2019JJ00";"     210"
"487";"CR04  ";"1014800";"2020JJ00";"     223"
"488";"CR04  ";"1014800";"2021JJ00";"     241"
